protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd
strain,paper_legacy,group,0,71419,15892.0,431.0,12423,286,14,0.41380215908332696,0.5536151569261932,0.7138597898110787,0.6323248775859809,0.6457931735938808,,,,,
strain,paper_legacy,group,1,8146,5292.0,412.0,1129,49,0,0.6837493199500865,0.4211080911098371,0.5713910781489364,0.8323597111118026,0.8325692826923179,,,,,
strain,paper_legacy,group,2,6793,4742.0,419.0,1387,65,4,0.6467269101135311,0.4182584466853915,0.5587078002459894,0.7790134368093543,0.8044381045705238,,,,,
strain,paper_legacy,pooled,all_groups_pooled,86358,16560.0,1204.0,14939,400,18,0.46384816203619217,0.5304687120015099,0.6905017122431709,0.6681008519273057,0.6825757515129203,,,,,
strain,paper_legacy,mean_across_groups,mean_across_groups,86358,,,14939,400,18,0.5814261297156482,0.46432723157380734,0.6146528894020015,0.7478993418357126,0.7609335202855743,0.14634210383698681,0.07733873756815776,0.0861494236845103,0.1035835355423216,0.10070161554236623
strain,right_censored_multiplier_1,group,0,71405,15890.0,431.0,12423,286,0,0.4078345143648704,0.5289120300515401,0.6858874635044897,0.6307478403422928,0.6464365102067248,,,,,
strain,right_censored_multiplier_1,group,1,8146,5292.0,412.0,1129,49,0,0.6888556811470947,0.41156263081414735,0.5550114733341897,0.8315825826511488,0.831796633415091,,,,,
strain,right_censored_multiplier_1,group,2,6789,4739.0,419.0,1387,65,0,0.6389059339109144,0.400271849277498,0.5303107731372633,0.780965378662255,0.8060969906090494,,,,,
strain,right_censored_multiplier_1,pooled,all_groups_pooled,86340,16558.0,1204.0,14939,400,0,0.46025969664114486,0.5077252522722632,0.663506750766015,0.6669489706112398,0.6835025518020379,,,,,
strain,right_censored_multiplier_1,mean_across_groups,mean_across_groups,86340,,,14939,400,0,0.5785320431409599,0.44691550338106184,0.5904032366586476,0.7477652672185656,0.7614433780769551,0.1499232438947927,0.07123512635241078,0.0836089668027048,0.10445254415030397,0.10042436284627346
strain,right_censored_multiplier_2,group,0,71405,15890.0,431.0,12423,286,0,0.41371892617083417,0.5536954023448847,0.7139150781931262,0.6322275077534504,0.6457251562859604,,,,,
strain,right_censored_multiplier_2,group,1,8146,5292.0,412.0,1129,49,0,0.6837071004000594,0.4212928627742515,0.5715884441081335,0.832358189088092,0.8325674106363786,,,,,
strain,right_censored_multiplier_2,group,2,6789,4739.0,419.0,1387,65,0,0.6464444085854137,0.418270062134145,0.5587068463629327,0.7787763212573332,0.8042668852624334,,,,,
strain,right_censored_multiplier_2,pooled,all_groups_pooled,86340,16558.0,1204.0,14939,400,0,0.4637695270635954,0.5305548681540915,0.6905660049757006,0.6680032736856601,0.6825141722921861,,,,,
strain,right_censored_multiplier_2,mean_across_groups,mean_across_groups,86340,,,14939,400,0,0.5812901450521024,0.4644194424177604,0.6147367895547308,0.7477873393662918,0.7608531507282574,0.14631203675136834,0.07733002066862249,0.08613207064182274,0.10360168990827048,0.10070288606757763
strain,right_censored_multiplier_4,group,0,71405,15890.0,431.0,12423,286,0,0.4017772466571484,0.5982622704918256,0.7618658453582213,0.6268736453221225,0.6374923534211228,,,,,
strain,right_censored_multiplier_4,group,1,8146,5292.0,412.0,1129,49,0,0.6624114857597143,0.4566654277342805,0.60869349778566,0.827154666342478,0.8254005607633087,,,,,
strain,right_censored_multiplier_4,group,2,6789,4739.0,419.0,1387,65,0,0.6260403087850224,0.4715691261513825,0.6165259981030422,0.7703298739669927,0.7935380063788596,,,,,
strain,right_censored_multiplier_4,pooled,all_groups_pooled,86340,16558.0,1204.0,14939,400,0,0.44901615129673844,0.5749408940958303,0.7381601292377519,0.6621739711964294,0.6737208629550878,,,,,
strain,right_censored_multiplier_4,mean_across_groups,mean_across_groups,86340,,,14939,400,0,0.5634096804006284,0.5088322747924962,0.6623617804156412,0.7414527285438645,0.7521436401877636,0.1411541652131152,0.07780631821846819,0.08626199174826858,0.10321598224635754,0.1005608957841486
strain,right_censored_excluded,group,0,58982,14156.0,411.0,0,286,0,0.40213044126145636,0.5473643843125489,0.7057931885951109,0.6081208190485633,0.6463745705661456,,,,,
strain,right_censored_excluded,group,1,7017,4456.0,383.0,0,49,0,0.7057796477707274,0.41951499900501776,0.5645837025979402,0.8321179876241925,0.8426231050830217,,,,,
