protocol,scenario,aggregation,group,measurements,unique_molecules,pathogens,right_censored_measurements,left_censored_measurements,double_angle_measurements,r2,mae,rmse,spearman,pearson,r2_sample_sd,mae_sample_sd,rmse_sample_sd,spearman_sample_sd,pearson_sample_sd,r2_paper_legacy,mae_paper_legacy,rmse_paper_legacy,spearman_paper_legacy,pearson_paper_legacy,r2_multiplier_2,mae_multiplier_2,rmse_multiplier_2,spearman_multiplier_2,pearson_multiplier_2,delta_r2_vs_paper_legacy,delta_r2_vs_multiplier_2,delta_mae_vs_paper_legacy,delta_mae_vs_multiplier_2,delta_rmse_vs_paper_legacy,delta_rmse_vs_multiplier_2,delta_spearman_vs_paper_legacy,delta_spearman_vs_multiplier_2,delta_pearson_vs_paper_legacy,delta_pearson_vs_multiplier_2
phylum,right_censored_multiplier_2,group,1,44951,14719.0,627.0,7804,188,0,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,-0.00012522142357773713,0.0,0.00014588455831987535,0.0,0.00012508329568861054,0.0,-0.00011794157980238307,0.0,-7.318734998651433e-05,0.0
phylum,right_censored_multiplier_2,group,2,35530,14137.0,636.0,6315,202,0,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,-0.0001493349218221196,0.0,0.00012297541064465456,0.0,0.00011240161571146601,0.0,-0.00017187800157936195,0.0,-0.0001155148233891179,0.0
phylum,right_censored_multiplier_2,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,-0.00013550464037492826,0.0,0.00013065931194333746,0.0,0.00011768618383600771,0.0,-0.00014593716774113918,0.0,-9.826532254875175e-05,0.0
phylum,right_censored_multiplier_2,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,0.06882181453303456,0.013960136784075717,0.019740077070098158,0.04697088774764854,0.022897871803708045,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,-0.00013758224672849595,0.0,0.00010845319759178462,0.0,0.0001100982960139385,0.0,-0.00012743194770770128,0.0,-8.751016094921127e-05,0.0
phylum,right_censored_multiplier_4,group,0,5328,3288.0,148.0,1145,7,0,0.299720281281215,0.5885220639680131,0.7496224391508346,0.573234647024684,0.6275902492525504,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,-0.009769690297274036,-0.00963149990248835,0.058312669483942536,0.05825616986013171,0.06539635055064508,0.06530354057400345,-0.006720431036253416,-0.006627954774512168,-0.006228319512433744,-0.006154491202961854
phylum,right_censored_multiplier_4,group,1,44951,14719.0,627.0,7804,188,0,0.39448623668159755,0.6065695543304875,0.7732462948728934,0.6711606896543464,0.6764915970878463,,,,,,0.4171062111955476,0.5579674458245953,0.7235313080851185,0.6724138261970618,0.6790106617593594,0.41698098977196985,0.5581133303829152,0.7236563913808071,0.6722958846172594,0.6789374744093729,-0.022619974513950036,-0.0224947530903723,0.048602108505892194,0.04845622394757232,0.04971498678777497,0.04958990349208636,-0.0012531365427154162,-0.0011351949629130331,-0.0025190646715130827,-0.0024458773215265683
phylum,right_censored_multiplier_4,group,2,35530,14137.0,636.0,6315,202,0,0.43014403307565496,0.5949789744849437,0.7546660618685882,0.6363733969990448,0.6564131619967367,,,,,,0.437621114287692,0.5458120527654874,0.7067792359807124,0.6407721080224705,0.6628714642452199,0.4374717793658699,0.545935028176132,0.7068916375964238,0.6406002300208912,0.6627559494218308,-0.007477081212037051,-0.0073277462902149315,0.04916692171945636,0.0490439463088117,0.04788682588787585,0.047774424272164384,-0.004398711023425705,-0.0042268330218463435,-0.006458302248483205,-0.0063427874250940874
phylum,right_censored_multiplier_4,pooled,all_groups_pooled,85809,16538.0,1411.0,15264,397,0,0.40719379299898895,0.6006497751632273,0.7641474461906227,0.6410522786435362,0.6561522331354098,,,,,,0.42328018833873415,0.5512110478393716,0.7142416591493191,0.6437953752702906,0.6600577545017726,0.4231446836983592,0.5513417071513149,0.7143593453331551,0.6436494381025495,0.6599594891792239,-0.016086395339745208,-0.01595089069937028,0.04943872732385568,0.04930806801191234,0.04990578704130355,0.04978810085746754,-0.0027430966267544266,-0.0025971594590132874,-0.0039055213663627963,-0.0038072560438140446
phylum,right_censored_multiplier_4,mean_across_groups,mean_across_groups,85809,,,15264,397,0,0.3747835170128225,0.5966901975944814,0.7591782652974387,0.6269229112260251,0.6534983361123778,0.06740724463879363,0.009144626317890954,0.012441528227338506,0.04964233291542766,0.024580634907976816,0.38807243235390954,0.5446629643580511,0.7048455442220067,0.63104700409349,0.6585668982565211,0.38793485010718104,0.5447714175556428,0.7049556425180207,0.6309195721457823,0.6584793880955719,-0.01328891534108706,-0.013151333094358564,0.052027233236430326,0.05191878003883854,0.05433272107543197,0.05422262277941803,-0.004124092867464957,-0.003996660919757256,-0.005068562144143307,-0.004981051983194096
phylum,right_censored_excluded,group,0,4183,2665.0,138.0,0,7,0,0.22512922918877887,0.5092857437318375,0.6541826575467374,0.5017909214809787,0.5751291131831754,,,,,,0.309489971578489,0.5302093944840706,0.6842260886001895,0.5799550780609374,0.6338185687649841,0.3093517811837033,0.5302658941078814,0.6843188985768311,0.5798626017991961,0.6337447404555122,-0.08436074238971014,-0.08422255199492445,-0.020923650752233014,-0.020980150376043838,-0.030043431053452085,-0.030136241030093713,-0.07816415657995868,-0.07807168031821743,-0.058689455581808714,-0.05861562727233682
