protocol,group,cohort,model,measurements,unique_molecules,pathogens,low_mic_16um_measurements,low_mic_16um_fraction,r2,spearman,pearson
phylum,2,train_seen,always_512um_constant,33071,12791,588,16420,0.4965075141362523,-2.0402592316044066,,
phylum,2,train_unseen,apexoracle_ensemble,2466,1349,211,1291,0.5235198702351987,-0.1589009621954507,0.19786596579093457,0.21446302972654357
phylum,2,train_unseen,peptide_mean_or_train_mean,2466,1349,211,1291,0.5235198702351987,-0.09484336969454543,,
phylum,2,train_unseen,training_mean_constant,2466,1349,211,1291,0.5235198702351987,-0.09484336969454543,,
phylum,2,train_unseen,always_512um_constant,2466,1349,211,1291,0.5235198702351987,-3.2221785674566643,,
phylum,all_groups_pooled,full,apexoracle_ensemble,85824,16540,1411,39450,0.45966163310961966,0.42328018820427926,0.6437954208176973,0.6600577549450293
phylum,all_groups_pooled,full,peptide_mean_or_train_mean,85824,16540,1411,39450,0.45966163310961966,0.4657791059080222,0.6925599632611182,0.7053251914466081
phylum,all_groups_pooled,full,training_mean_constant,85824,16540,1411,39450,0.45966163310961966,-0.010456336240489028,-0.07467927354352767,-0.06884182318295332
phylum,all_groups_pooled,full,always_512um_constant,85824,16540,1411,39450,0.45966163310961966,-1.887719209134493,,
phylum,all_groups_pooled,train_seen,apexoracle_ensemble,79309,13049,1312,35658,0.4496084933614092,0.4477895690064442,0.6655903761666155,0.6816675132732178
phylum,all_groups_pooled,train_seen,peptide_mean_or_train_mean,79309,13049,1312,35658,0.4496084933614092,0.5022836754781256,0.7235072139621345,0.7317959967193812
phylum,all_groups_pooled,train_seen,training_mean_constant,79309,13049,1312,35658,0.4496084933614092,-0.015052493082660767,-0.09050163053638427,-0.08496154233159679
phylum,all_groups_pooled,train_seen,always_512um_constant,79309,13049,1312,35658,0.4496084933614092,-1.8162365498816633,,
phylum,all_groups_pooled,train_unseen,apexoracle_ensemble,6515,3491,440,3792,0.5820414428242517,0.013520517063839055,0.3325894009113157,0.33976097579767245
phylum,all_groups_pooled,train_unseen,peptide_mean_or_train_mean,6515,3491,440,3792,0.5820414428242517,-0.09706846436210492,0.12902599219683503,0.12188648241599406
phylum,all_groups_pooled,train_unseen,training_mean_constant,6515,3491,440,3792,0.5820414428242517,-0.09706846436210492,0.12902599219683503,0.12188648241599406
phylum,all_groups_pooled,train_unseen,always_512um_constant,6515,3491,440,3792,0.5820414428242517,-3.2589787148745826,,
