species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Morganella morganii,975,Morganella morganii subsp. morganii,Pirie 44 A,BSL 2,False,,False,False,,Bacteria
Morganella morganii,974,Morganella morganii subsp. morganii,Pirie 35 B,BSL 2,False,,False,False,,Bacteria
Morganella morganii,973,Morganella morganii subsp. morganii,Pirie 35 A,BSL 2,False,,False,False,,Bacteria
Morganella morganii,33791,Morganella morganii subsp. morganii,Potter,BSL 2,True,https://genomes.atcc.org/genomes/7fff34d26c3843b4,False,True,BALB/c mouse intestine,Bacteria
Morganella morganii,21116,Morganella morganii subsp. sibonii,CTC 1851,BSL 2,False,,False,False,,Bacteria
Morganella morganii,25829,Morganella morganii subsp. morganii,"M4 [ATCC 8076d, DSM 6675, NCTC 417; AMNH 692]",BSL 2,True,https://genomes.atcc.org/genomes/36132a91f1dc47da,False,True,Stool from Providence City Hospital,Bacteria
Morganella morganii,25830,Morganella morganii subsp. morganii,"M11 [33 M, ATCC 8076H, NCTC 235]",BSL 2,True,https://genomes.atcc.org/genomes/121db30f3c174593,True,True,Patient with summer diarrhea,Bacteria
Morganella morganii,21720,Morganella morganii subsp. sibonii,AA-2,BSL 2,False,,False,True,,Bacteria
Hafnia alvei,13337,Hafnia alvei,NCTC 8105 [NCDC 434-68],BSL 1,True,https://genomes.atcc.org/genomes/6bd184666f034741,True,True,Stuart's type 32011,Bacteria
Hafnia alvei,BAA-2768,Hafnia alvei,bMx:8208040,BSL 1,True,https://genomes.atcc.org/genomes/a107250ee3954987,False,True,Food,Bacteria
Hafnia alvei,51873,Hafnia alvei,HER 1272 [1672],BSL 1,True,https://genomes.atcc.org/genomes/17596e02f1f7404b,False,True,Feces,Bacteria
Hafnia alvei,9760,Hafnia alvei,04414 [NCTC 6578],BSL 1,True,https://genomes.atcc.org/genomes/87b5c8b45c45469f,False,True,,Bacteria
Hafnia alvei,51815,Hafnia alvei,C2,BSL 1,True,https://genomes.atcc.org/genomes/e4169e95872047f7,False,True,Milk,Bacteria
Hafnia alvei,29926,Hafnia alvei,CDC 5632-72,BSL 1,True,https://genomes.atcc.org/genomes/3e0a5c6c478f474d,False,True,,Bacteria
Hafnia alvei,51873-B1,Hafnia alvei bacteriophage 1672,1672 [HER 272],BSL 1,False,,False,True,Surface water,Viruses
Hafnia alvei,11604,Hafnia alvei,3565 [Conn 3565],BSL 1,False,,False,False,,Bacteria
Pantoea agglomerans,23374,Pantoea agglomerans,ICPB EM101,BSL 1,True,https://genomes.atcc.org/genomes/1e407241486d47f7,False,True,South African mango,Bacteria
Pantoea agglomerans,14537,Pantoea agglomerans,AJ 2196 [IAM 1555],BSL 1,False,,False,True,Rice,Bacteria
Pantoea agglomerans,13460,Pantoea agglomerans,"XB 2 [ICMP 437, ICMP 438, NCPPB 983]",BSL 1,False,,True,True,,Bacteria
Pantoea agglomerans,12287,Pantoea agglomerans,[ICPB EH117],BSL 1,False,,False,True,,Bacteria
